关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
目标人群,targetPopulation,预期或通常使用的人群的特征，例如“成人”。,"Characteristics of the population for which this is intended, or which typically uses it, e.g. 'adults'.","DietarySupplement, DoseSchedule",Text
目标产品,targetProduct,代码适用的目标操作系统/产品。如果适用于多个版本，则只能使用产品名称。,"Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.",SoftwareSourceCode,SoftwareApplication
目标网址,targetUrl,已建立的教育框架中节点的URL。,The URL of a node in an established educational framework.,AlignmentObject,URL
税号,taxID,组织或个人的税号/财务ID，例如美国的TIN或西班牙的CIF / NIF。,"The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.","Organization, Person",Text
教,teaches,所描述的项目旨在帮助一个人学习由参考术语定义的能力或学习成果。,The item being described is intended to help a person learn the competency or learning outcome defined by the referenced term.,"CreativeWork, EducationEvent","DefinedTerm, Text"
电话,telephone,电话号码。,The telephone number.,"ContactPoint, Organization, Person, Place",Text
暫時,temporal,在不知道更具体的属性（例如，temporalCoverage，dateCreated，dateModified，datePublished）合适的情况下，可以使用“ temporal”属性。,"The ""temporal"" property can be used in cases where more specific properties(e.g. temporalCoverage, dateCreated, dateModified, datePublished) are not known to be appropriate.",CreativeWork,"DateTime, Text"
时间覆盖,temporalCoverage,CreativeWork的temporalCoverage指示内容所适用的时间段，即它描述为DateTime或文本字符串，以ISO 8601时间间隔格式表示时间段。在数据集的情况下，通常会以精确的符号表示相关的时间段（例如，对于2011年的人口普查数据集，2011年将写为“ 2011/2012”）。其他形式的内容，例如ScholarlyArticle，Book，TVSeries或TVEpisode可能会以更广泛的方式（通过文字形式或通过众所周知的URL）指示其temporalCoverage。诸如书籍之类的书面作品有时也可能具有精确的时间范围，例如在1939年至1945年设定的作品可以通过“ 1939/1945”以ISO 8601间隔格式表示。开放式日期范围可以用“ ..”代替结束日期。例如，“ 2015-11 / ..”表示从2015年11月开始且没有指定最终日期的范围。这是暂时的，将来可能会在ISO 8601正式更新时进行更新。,"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in ISO 8601 time interval format. In      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945"".Open-ended date ranges can be written with "".."" in place of the end date. For example, ""2015-11/.."" indicates a range beginning in November 2015 and with no specified final date. This is tentative and might be updated in future when ISO 8601 is officially updated.",CreativeWork,"DateTime, Text, URL"
术语代码,termCode,在DefinedTermSet中标识此DefinedTerm的代码,A code that identifies this DefinedTerm within a DefinedTermSet,DefinedTerm,Text
学期,termDuration,机构定义的学期中的时间量。学期是学生上一堂或多堂课的时间长度。学期和季度是学期的常用单位。,The amount of time in a term as defined by the institution. A term is a length of time where students take one or more classes. Semesters and quarters are common units for term.,EducationalOccupationalProgram,Duration
服务条款,termsOfService,易于阅读的服务条款文档。,Human-readable terms of service documentation.,Service,"Text, URL"
每年学期,termsPerYear,每年提供学习条款的次数。学期和季度是学期的常用单位。例如，如果学生在一年内只能学习2个学期的课程，则termPerYear应该为2。,"The number of times terms of study are offered per year. Semesters and quarters are common units for term. For example, if the student can only take 2 semesters for the program in one year, then termsPerYear should be 2.",EducationalOccupationalProgram,Number
文本,text,此CreativeWork的文本内容。,The textual content of this CreativeWork.,CreativeWork,Text
文字值,textValue,带有注释的文本值。,Text value being annotated.,PronounceableText,Text
缩图,thumbnail,图片或视频的缩略图。,Thumbnail image for an image or video.,"ImageObject, VideoObject",ImageObject
缩略图网址,thumbnailUrl,与事物相关的缩略图。,A thumbnail image relevant to the Thing.,CreativeWork,URL
股票代码,tickerSymbol,与公司对象关联的交易所交易工具。 tickerSymbol表示为交易所和指令名称，用空格字符分隔。对于tickerSymbol属性的交换组件，建议使用ISO15022中指定的市场标识符代码（MIC）的受控词汇表。,"The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we recommend using the controlled vocabulary of Market Identifier Codes (MIC) specified in ISO15022.",Corporation,Text
票号,ticketNumber,票证的唯一标识符。,The unique identifier for the ticket.,Ticket,Text
票证令牌,ticketToken,对可用于入口的资产（例如条形码，QR码图像或PDF）的引用。,"Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.",Ticket,"Text, URL"
售票座位,ticketedSeat,与票证关联的座位。,The seat associated with the ticket.,Ticket,Seat
一天中的时间,timeOfDay,程序正常运行的时间。例如，“晚上”。,"The time of day the program normally runs. For example, ""evenings"".",EducationalOccupationalProgram,Text
所需时间,timeRequired,对于典型的预期目标受众，使用或通过此学习资源工作所需的大概或典型时间。 'PT30M'，'PT1H25M'。,"Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'PT30M', 'PT1H25M'.",CreativeWork,Duration
完成时间,timeToComplete,如果参加全日制，则完成该计划的预期时间。,The expected length of time to complete the program if attending full-time.,EducationalOccupationalProgram,Duration
组织样本,tissueSample,测试所需的组织样本类型。,The type of tissue sample required for the test.,PathologyTest,Text
标题,title,职位名称。,The title of the job.,JobPosting,Text
标题EIDR,titleEIDR,代表电影或电视作品最一般/抽象级别的EIDR（娱乐标识符注册表）标识符。例如，被称为“捉鬼敢死队”的电影的标题EIDR为“ 10.5240 / 7EC7-228A-510A-053E- CBB8-J”。该标题（或作品）可能有几种变体，EIDR将其称为“编辑”。请参阅editEIDR。由于诸如Movie和TVEpisode之类的schema.org类型可用于作品及其多种表达方式，因此可以单独使用titleEIDR（作为一般说明），或与editEIDR一起使用以进行更具体的编辑。,"An EIDR (Entertainment Identifier Registry) identifier representing at the most general/abstract level, a work of film or television.For example, the motion picture known as ""Ghostbusters"" has a titleEIDR of  ""10.5240/7EC7-228A-510A-053E-CBB8-J"". This title (or work) may have several variants, which EIDR calls ""edits"". See editEIDR.Since schema.org types like Movie and TVEpisode can be used for both works and their multiple expressions, it is possible to use titleEIDR alone (for a general description), or alongside editEIDR for a more edit-specific description.","Movie, TVEpisode","Text, URL"
